instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j303_4 	 5 	 2 	 123.00 	 123.00 	 0.0000 	 1.51 
j303_4 	 7 	 2 	 132.00 	 132.00 	 0.0000 	 1.85 
j303_5 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 2.15 
j303_5 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 2.94 
j303_5 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 3.21 
j303_6 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 1.42 
j303_6 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 1.65 
j303_6 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 3.23 
j303_7 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 1.56 
j303_7 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 2.28 
j303_7 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 2.24 
j303_8 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 1.44 
j303_8 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 1.71 
j303_8 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 1.95 
j303_9 	 3 	 2 	 80.00 	 80.00 	 0.0000 	 3.49 
j303_9 	 5 	 2 	 89.00 	 89.00 	 0.0000 	 3.97 
j303_9 	 7 	 2 	 96.00 	 96.00 	 0.0000 	 7.54 
j303_10 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 1.86 
j303_10 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 2.64 
j303_10 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 3.92 
j304_1 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.88 
j304_1 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 1.46 
j304_1 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 1.73 
j304_2 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 1.26 
j304_2 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 1.36 
j304_2 	 7 	 2 	 86.00 	 86.00 	 0.0000 	 1.66 
j304_3 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 1.23 
j304_3 	 5 	 2 	 67.00 	 67.00 	 0.0000 	 1.82 
j304_3 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 2.55 
j304_4 	 3 	 2 	 72.00 	 72.00 	 0.0000 	 0.64 
j304_4 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.87 
j304_4 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 1.41 
j304_5 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 1.67 
j304_5 	 5 	 2 	 83.00 	 83.00 	 0.0000 	 2.20 
j304_5 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 2.45 
j304_6 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 0.91 
j304_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 1.46 
j304_6 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 1.57 
j304_7 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 1.18 
j304_7 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 1.75 
j304_7 	 7 	 2 	 82.00 	 82.00 	 0.0000 	 2.37 
j304_8 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 0.79 
j304_8 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 0.97 
j304_8 	 7 	 2 	 83.00 	 83.00 	 0.0000 	 1.87 
j304_9 	 3 	 2 	 51.00 	 51.00 	 0.0000 	 1.50 
j304_9 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 3.88 
j304_9 	 7 	 2 	 58.00 	 58.00 	 0.0000 	 1.79 
j304_10 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 1.36 
j304_10 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 1.88 
j304_10 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 2.25 
j305_1 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 847.05 
j305_1 	 5 	 9 	 63.00 	 73.00 	 0.1370 	 1200.04 
j305_1 	 7 	 9 	 69.00 	 78.00 	 0.1154 	 1200.06 
j305_2 	 3 	 9 	 84.00 	 98.00 	 0.1429 	 1200.04 
j305_2 	 5 	 9 	 91.00 	 106.00 	 0.1415 	 1200.19 
j305_2 	 7 	 9 	 98.00 	 113.00 	 0.1327 	 1200.04 
j305_3 	 3 	 9 	 78.00 	 98.00 	 0.2041 	 1200.04 
j305_3 	 5 	 9 	 80.00 	 107.00 	 0.2523 	 1200.05 
j305_3 	 7 	 9 	 89.00 	 115.00 	 0.2261 	 1200.07 
j305_4 	 3 	 9 	 69.00 	 80.00 	 0.1375 	 1200.05 
j305_4 	 5 	 9 	 71.00 	 87.00 	 0.1839 	 1200.04 
j305_4 	 7 	 9 	 76.00 	 95.00 	 0.2000 	 1200.04 
j305_5 	 3 	 2 	 91.00 	 91.00 	 0.0000 	 627.26 
j305_5 	 5 	 9 	 88.00 	 110.00 	 0.2000 	 1200.01 
j305_5 	 7 	 9 	 94.00 	 112.00 	 0.1607 	 1200.01 
j305_6 	 3 	 9 	 75.00 	 81.00 	 0.0741 	 1200.03 
j305_6 	 5 	 9 	 77.00 	 95.00 	 0.1895 	 1200.08 
j305_6 	 7 	 9 	 81.00 	 103.00 	 0.2136 	 1200.04 
j305_7 	 3 	 9 	 73.00 	 99.00 	 0.2626 	 1200.02 
j305_7 	 5 	 9 	 81.00 	 103.00 	 0.2136 	 1200.05 
j305_7 	 7 	 9 	 82.00 	 111.00 	 0.2613 	 1200.02 
j305_8 	 3 	 9 	 71.00 	 86.00 	 0.1744 	 1200.08 
j305_8 	 5 	 9 	 78.00 	 95.00 	 0.1789 	 1200.05 
j305_8 	 7 	 9 	 84.00 	 103.00 	 0.1845 	 1200.03 
j305_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 931.47 
j305_9 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 982.99 
j305_9 	 7 	 2 	 74.00 	 74.00 	 0.0000 	 1127.27 
j305_10 	 3 	 2 	 85.00 	 85.00 	 0.0000 	 680.03 
j305_10 	 5 	 2 	 94.00 	 94.00 	 0.0000 	 443.80 
j305_10 	 7 	 2 	 101.00 	 101.00 	 0.0000 	 936.94 
j306_1 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 113.27 
j306_1 	 5 	 2 	 82.00 	 82.00 	 0.0000 	 313.41 
j306_1 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 181.16 
j306_2 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 149.72 
j306_2 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 399.02 
j306_2 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 575.64 
j306_3 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 16.13 
j306_3 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 18.94 
j306_3 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 27.30 
j306_4 	 3 	 2 	 55.00 	 55.00 	 0.0000 	 81.52 
j306_4 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 82.21 
j306_4 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 522.78 
j306_5 	 3 	 2 	 82.00 	 82.00 	 0.0000 	 41.07 
j306_5 	 5 	 2 	 90.00 	 90.00 	 0.0000 	 35.84 
j306_5 	 7 	 2 	 98.00 	 98.00 	 0.0000 	 80.84 
j306_6 	 3 	 2 	 47.00 	 47.00 	 0.0000 	 12.52 
j306_6 	 5 	 2 	 52.00 	 52.00 	 0.0000 	 13.88 
j306_6 	 7 	 2 	 56.00 	 56.00 	 0.0000 	 12.86 
j306_7 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 13.62 
j306_7 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 21.55 
j306_7 	 7 	 2 	 70.00 	 70.00 	 0.0000 	 21.42 
j306_8 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 23.87 
j306_8 	 5 	 2 	 59.00 	 59.00 	 0.0000 	 33.25 
j306_8 	 7 	 2 	 60.00 	 60.00 	 0.0000 	 65.19 
j306_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 8.38 
j306_9 	 5 	 2 	 72.00 	 72.00 	 0.0000 	 15.83 
j306_9 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 27.23 
