instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j303_4 	 5 	 2 	 123.00 	 123.00 	 0.0000 	 0.60 
j303_4 	 7 	 2 	 132.00 	 132.00 	 0.0000 	 0.68 
j303_5 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 0.58 
j303_5 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 0.93 
j303_5 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 1.20 
j303_6 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 0.46 
j303_6 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 0.72 
j303_6 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 1.03 
j303_7 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.43 
j303_7 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 0.68 
j303_7 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 0.90 
j303_8 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 0.29 
j303_8 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 0.48 
j303_8 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 0.90 
j303_9 	 3 	 2 	 80.00 	 80.00 	 0.0000 	 1.09 
j303_9 	 5 	 2 	 89.00 	 89.00 	 0.0000 	 1.49 
j303_9 	 7 	 2 	 96.00 	 96.00 	 0.0000 	 3.14 
j303_10 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.78 
j303_10 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 1.28 
j303_10 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 2.79 
j304_1 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.32 
j304_1 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 0.50 
j304_1 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 0.81 
j304_2 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.30 
j304_2 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.61 
j304_2 	 7 	 2 	 86.00 	 86.00 	 0.0000 	 0.76 
j304_3 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 0.32 
j304_3 	 5 	 2 	 67.00 	 67.00 	 0.0000 	 0.57 
j304_3 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 0.82 
j304_4 	 3 	 2 	 72.00 	 72.00 	 0.0000 	 0.28 
