instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j303_4 	 5 	 2 	 123.00 	 123.00 	 0.0000 	 1.29 
j303_4 	 7 	 2 	 132.00 	 132.00 	 0.0000 	 2.11 
j303_5 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 1.71 
j303_5 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 1.68 
j303_5 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 2.81 
j303_6 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 1.04 
j303_6 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 1.35 
j303_6 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 1.74 
j303_7 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 1.39 
j303_7 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 1.77 
j303_7 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 2.26 
j303_8 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 1.34 
j303_8 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 1.02 
j303_8 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 1.88 
j303_9 	 3 	 2 	 80.00 	 80.00 	 0.0000 	 1.98 
j303_9 	 5 	 2 	 89.00 	 89.00 	 0.0000 	 2.23 
j303_9 	 7 	 2 	 96.00 	 96.00 	 0.0000 	 5.70 
j303_10 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 1.17 
j303_10 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 1.71 
j303_10 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 3.49 
j304_1 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.78 
j304_1 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 1.29 
j304_1 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 1.50 
j304_2 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.71 
j304_2 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 1.55 
j304_2 	 7 	 2 	 86.00 	 86.00 	 0.0000 	 1.06 
j304_3 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 1.69 
j304_3 	 5 	 2 	 67.00 	 67.00 	 0.0000 	 1.59 
j304_3 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 2.34 
j304_4 	 3 	 2 	 72.00 	 72.00 	 0.0000 	 0.44 
j304_4 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.63 
j304_4 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 0.81 
j304_5 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 1.47 
j304_5 	 5 	 2 	 83.00 	 83.00 	 0.0000 	 1.86 
j304_5 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 2.59 
j304_6 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 1.24 
j304_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 1.63 
j304_6 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 1.64 
j304_7 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 1.10 
j304_7 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 1.49 
j304_7 	 7 	 2 	 82.00 	 82.00 	 0.0000 	 1.82 
j304_8 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 0.81 
j304_8 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 0.92 
j304_8 	 7 	 2 	 83.00 	 83.00 	 0.0000 	 1.16 
j304_9 	 3 	 2 	 51.00 	 51.00 	 0.0000 	 2.03 
j304_9 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 1.65 
j304_9 	 7 	 2 	 58.00 	 58.00 	 0.0000 	 1.91 
j304_10 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.99 
j304_10 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 1.21 
j304_10 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 2.36 
j305_1 	 3 	 9 	 65.00 	 66.00 	 0.0152 	 1200.03 
j305_1 	 5 	 9 	 68.00 	 73.00 	 0.0685 	 1200.04 
j305_1 	 7 	 9 	 71.00 	 78.00 	 0.0897 	 1200.04 
j305_2 	 3 	 9 	 87.00 	 97.00 	 0.1031 	 1200.04 
j305_2 	 5 	 9 	 91.00 	 105.00 	 0.1333 	 1200.03 
j305_2 	 7 	 9 	 100.00 	 114.00 	 0.1228 	 1200.03 
j305_3 	 3 	 9 	 78.00 	 99.00 	 0.2121 	 1200.02 
j305_3 	 5 	 9 	 82.00 	 110.00 	 0.2545 	 1200.04 
j305_3 	 7 	 9 	 90.00 	 117.00 	 0.2308 	 1200.04 
j305_4 	 3 	 9 	 64.00 	 80.00 	 0.2000 	 1200.01 
j305_4 	 5 	 9 	 75.00 	 87.00 	 0.1379 	 1200.04 
j305_4 	 7 	 9 	 82.00 	 93.00 	 0.1183 	 1200.08 
j305_5 	 3 	 9 	 80.00 	 92.00 	 0.1304 	 1200.03 
j305_5 	 5 	 9 	 92.00 	 101.00 	 0.0891 	 1200.03 
j305_5 	 7 	 2 	 106.00 	 106.00 	 0.0000 	 966.01 
j305_6 	 3 	 9 	 72.00 	 84.00 	 0.1429 	 1200.03 
j305_6 	 5 	 9 	 76.00 	 91.00 	 0.1648 	 1200.03 
j305_6 	 7 	 9 	 79.00 	 100.00 	 0.2100 	 1200.04 
j305_7 	 3 	 9 	 77.00 	 99.00 	 0.2222 	 1200.02 
j305_7 	 5 	 9 	 76.00 	 inf 	 inf 	 1200.02 
j305_7 	 7 	 9 	 82.00 	 125.00 	 0.3440 	 1200.01 
j305_8 	 3 	 9 	 71.00 	 85.00 	 0.1647 	 1200.02 
j305_8 	 5 	 9 	 78.00 	 95.00 	 0.1789 	 1200.03 
j305_8 	 7 	 9 	 85.00 	 100.00 	 0.1500 	 1200.03 
j305_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 962.01 
j305_9 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 761.37 
j305_9 	 7 	 2 	 74.00 	 74.00 	 0.0000 	 1179.46 
j305_10 	 3 	 2 	 85.00 	 85.00 	 0.0000 	 450.67 
j305_10 	 5 	 2 	 94.00 	 94.00 	 0.0000 	 419.69 
j305_10 	 7 	 2 	 101.00 	 101.00 	 0.0000 	 805.36 
j306_1 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 230.45 
j306_1 	 5 	 2 	 82.00 	 82.00 	 0.0000 	 213.10 
j306_1 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 329.72 
j306_2 	 3 	 9 	 65.00 	 66.00 	 0.0152 	 1200.03 
j306_2 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 246.14 
j306_2 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 362.33 
j306_3 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 9.63 
j306_3 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 16.71 
j306_3 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 31.98 
j306_4 	 3 	 2 	 55.00 	 55.00 	 0.0000 	 90.52 
j306_4 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 73.45 
j306_4 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 358.40 
j306_5 	 3 	 2 	 82.00 	 82.00 	 0.0000 	 33.05 
j306_5 	 5 	 2 	 90.00 	 90.00 	 0.0000 	 37.30 
j306_5 	 7 	 2 	 98.00 	 98.00 	 0.0000 	 44.78 
j306_6 	 3 	 2 	 47.00 	 47.00 	 0.0000 	 8.79 
j306_6 	 5 	 2 	 52.00 	 52.00 	 0.0000 	 18.71 
j306_6 	 7 	 2 	 56.00 	 56.00 	 0.0000 	 22.32 
j306_7 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 11.12 
j306_7 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 21.60 
j306_7 	 7 	 2 	 70.00 	 70.00 	 0.0000 	 41.60 
j306_8 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 40.49 
j306_8 	 5 	 2 	 59.00 	 59.00 	 0.0000 	 59.86 
j306_8 	 7 	 2 	 60.00 	 60.00 	 0.0000 	 66.34 
j306_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 10.34 
j306_9 	 5 	 2 	 72.00 	 72.00 	 0.0000 	 14.04 
j306_9 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 24.72 
j306_10 	 3 	 2 	 76.00 	 76.00 	 0.0000 	 32.59 
j306_10 	 5 	 2 	 84.00 	 84.00 	 0.0000 	 51.58 
j306_10 	 7 	 2 	 90.00 	 90.00 	 0.0000 	 62.27 
j307_1 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 2.67 
j307_1 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 2.09 
j307_1 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 4.75 
j307_2 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 3.71 
j307_2 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 14.10 
j307_2 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 18.99 
j307_3 	 3 	 2 	 55.00 	 55.00 	 0.0000 	 2.77 
j307_3 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 4.42 
j307_3 	 7 	 2 	 63.00 	 63.00 	 0.0000 	 13.76 
j307_4 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 3.79 
j307_4 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 5.35 
j307_4 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 12.43 
j307_5 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 11.08 
j307_5 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 16.02 
j307_5 	 7 	 2 	 68.00 	 68.00 	 0.0000 	 18.54 
j307_6 	 3 	 2 	 47.00 	 47.00 	 0.0000 	 2.87 
j307_6 	 5 	 2 	 52.00 	 52.00 	 0.0000 	 2.03 
j307_6 	 7 	 2 	 55.00 	 55.00 	 0.0000 	 3.02 
j307_7 	 3 	 2 	 65.00 	 65.00 	 0.0000 	 10.04 
j307_7 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 9.53 
j307_7 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 11.54 
j307_8 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 5.39 
j307_8 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 20.08 
j307_8 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 14.53 
j307_9 	 3 	 2 	 75.00 	 75.00 	 0.0000 	 4.63 
j307_9 	 5 	 2 	 83.00 	 83.00 	 0.0000 	 13.79 
j307_9 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 12.16 
j307_10 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 16.46 
j307_10 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 23.21 
j307_10 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 38.35 
j308_1 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 0.91 
j308_1 	 5 	 2 	 67.00 	 67.00 	 0.0000 	 1.07 
j308_1 	 7 	 2 	 68.00 	 68.00 	 0.0000 	 1.99 
j308_2 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 0.94 
j308_2 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 1.84 
j308_2 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 1.92 
j308_3 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 1.75 
j308_3 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 1.43 
j308_3 	 7 	 2 	 79.00 	 79.00 	 0.0000 	 2.80 
j308_4 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 1.89 
j308_4 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 2.27 
j308_4 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 3.37 
j308_5 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 1.22 
j308_5 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 1.61 
j308_5 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 1.88 
j308_6 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 1.58 
j308_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 2.96 
j308_6 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.56 
j308_7 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 1.13 
j308_7 	 5 	 2 	 59.00 	 59.00 	 0.0000 	 2.44 
j308_7 	 7 	 2 	 62.00 	 62.00 	 0.0000 	 2.23 
j308_8 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 1.92 
j308_8 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 2.56 
j308_8 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 2.67 
j308_9 	 3 	 2 	 51.00 	 51.00 	 0.0000 	 1.79 
j308_9 	 5 	 2 	 57.00 	 57.00 	 0.0000 	 2.61 
j308_9 	 7 	 2 	 60.00 	 60.00 	 0.0000 	 3.32 
j308_10 	 3 	 2 	 81.00 	 81.00 	 0.0000 	 1.33 
j308_10 	 5 	 2 	 89.00 	 89.00 	 0.0000 	 1.60 
j308_10 	 7 	 2 	 96.00 	 96.00 	 0.0000 	 4.66 
j309_1 	 3 	 9 	 73.00 	 105.00 	 0.3048 	 1200.03 
j309_1 	 5 	 9 	 77.00 	 111.00 	 0.3063 	 1200.03 
j309_1 	 7 	 9 	 86.00 	 123.00 	 0.3008 	 1200.12 
j309_2 	 3 	 9 	 61.00 	 111.00 	 0.4505 	 1200.03 
j309_2 	 5 	 9 	 67.00 	 121.00 	 0.4463 	 1200.02 
j309_2 	 7 	 9 	 71.00 	 inf 	 inf 	 1200.03 
j309_3 	 3 	 9 	 70.00 	 92.00 	 0.2391 	 1200.02 
j309_3 	 5 	 9 	 78.00 	 114.00 	 0.3158 	 1200.27 
j309_3 	 7 	 9 	 83.00 	 113.00 	 0.2655 	 1200.06 
j309_4 	 3 	 9 	 67.00 	 90.00 	 0.2556 	 1200.01 
j309_4 	 5 	 9 	 76.00 	 99.00 	 0.2323 	 1200.14 
j309_4 	 7 	 9 	 80.00 	 125.00 	 0.3600 	 1200.01 
j309_5 	 3 	 9 	 73.00 	 85.00 	 0.1412 	 1200.03 
j309_5 	 5 	 9 	 80.00 	 98.00 	 0.1837 	 1200.03 
j309_5 	 7 	 9 	 80.00 	 99.00 	 0.1919 	 1200.06 
j309_6 	 3 	 9 	 61.00 	 78.00 	 0.2179 	 1200.23 
j309_6 	 5 	 9 	 69.00 	 88.00 	 0.2159 	 1200.26 
j309_6 	 7 	 9 	 72.00 	 92.00 	 0.2174 	 1200.01 
j309_7 	 3 	 9 	 55.00 	 96.00 	 0.4271 	 1200.03 
j309_7 	 5 	 9 	 61.00 	 91.00 	 0.3297 	 1200.01 
j309_7 	 7 	 9 	 63.00 	 inf 	 inf 	 1200.02 
j309_8 	 3 	 9 	 76.00 	 inf 	 inf 	 1200.01 
j309_8 	 5 	 9 	 84.00 	 124.00 	 0.3226 	 1200.03 
j309_8 	 7 	 9 	 89.00 	 inf 	 inf 	 1200.15 
j309_9 	 3 	 9 	 54.00 	 inf 	 inf 	 1200.00 
j309_9 	 5 	 9 	 60.00 	 87.00 	 0.3103 	 1200.01 
j309_9 	 7 	 9 	 65.00 	 inf 	 inf 	 1200.02 
j309_10 	 3 	 9 	 77.00 	 109.00 	 0.2936 	 1200.03 
j309_10 	 5 	 9 	 85.00 	 113.00 	 0.2478 	 1200.03 
j309_10 	 7 	 9 	 92.00 	 134.00 	 0.3134 	 1200.03 
j3010_1 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 18.98 
j3010_1 	 5 	 2 	 61.00 	 61.00 	 0.0000 	 29.43 
j3010_1 	 7 	 2 	 64.00 	 64.00 	 0.0000 	 30.27 
j3010_2 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 331.20 
j3010_2 	 5 	 2 	 78.00 	 78.00 	 0.0000 	 381.10 
j3010_2 	 7 	 2 	 83.00 	 83.00 	 0.0000 	 264.99 
j3010_3 	 3 	 9 	 76.00 	 78.00 	 0.0256 	 1200.03 
j3010_3 	 5 	 9 	 85.00 	 86.00 	 0.0116 	 1200.03 
j3010_3 	 7 	 9 	 92.00 	 93.00 	 0.0108 	 1200.03 
j3010_4 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 650.48 
j3010_4 	 5 	 2 	 81.00 	 81.00 	 0.0000 	 599.33 
j3010_4 	 7 	 2 	 86.00 	 86.00 	 0.0000 	 1035.02 
j3010_5 	 3 	 2 	 54.00 	 54.00 	 0.0000 	 214.01 
j3010_5 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 235.16 
j3010_5 	 7 	 9 	 63.00 	 64.00 	 0.0156 	 1200.03 
j3010_6 	 3 	 9 	 53.00 	 59.00 	 0.1017 	 1200.04 
j3010_6 	 5 	 9 	 59.00 	 64.00 	 0.0781 	 1200.03 
j3010_6 	 7 	 9 	 62.00 	 67.00 	 0.0746 	 1200.03 
j3010_7 	 3 	 2 	 63.00 	 63.00 	 0.0000 	 40.24 
j3010_7 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 46.07 
j3010_7 	 7 	 2 	 76.00 	 76.00 	 0.0000 	 65.08 
j3010_8 	 3 	 9 	 63.00 	 68.00 	 0.0735 	 1200.02 
j3010_8 	 5 	 9 	 71.00 	 76.00 	 0.0658 	 1200.03 
j3010_8 	 7 	 9 	 77.00 	 81.00 	 0.0494 	 1200.03 
j3010_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 4.43 
j3010_9 	 5 	 2 	 72.00 	 72.00 	 0.0000 	 4.42 
j3010_9 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 15.32 
j3010_10 	 3 	 2 	 54.00 	 54.00 	 0.0000 	 209.70 
j3010_10 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 706.16 
j3010_10 	 7 	 2 	 63.00 	 63.00 	 0.0000 	 178.66 
j3011_1 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 22.91 
j3011_1 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 13.76 
j3011_1 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 31.50 
j3011_2 	 3 	 2 	 71.00 	 71.00 	 0.0000 	 8.47 
